,step,loss,lr
0,9,0.06852439741427171,0.00011406250000000001
1,19,0.04677729635531438,0.0001281250000000001
2,29,0.039974336509984776,0.00014218750000000006
3,39,0.04730380547993698,0.00015625000000000003
4,49,0.02738117709192525,0.0001703125
5,59,0.025604124697053143,0.00018437500000000008
6,69,0.02277021352398282,0.00019843750000000005
7,79,0.019906664364421112,0.00021250000000000002
8,89,0.016225338645846295,0.0002265625000000001
9,99,0.014690713572304379,0.00024062500000000006
10,109,0.01604905551069235,0.00025468750000000003
11,119,0.01494163021523282,0.00026875
12,129,0.010766665208708157,0.0002828125000000001
13,139,0.025344220584096144,0.00029687500000000005
14,149,0.014574318354513137,0.0003109375
15,159,0.01578357342088469,0.000325
16,169,0.019379469974998863,0.00033906250000000006
17,179,0.016049731314287795,0.00035312500000000003
